year, month, day, HOME_TEAM, AWAY_TEAM, total_minutes, fg, fg_attempts, fg_percentage, 3p, 3p_attempts, 3p_percentage, ft, ft_attempts, ft_percentage, orb, drb, trb, ast, stl, blk, tov, pf, pts, total_minutes(2), ts, efg, three_ar, ft_ar, orb_p, drb_p, trb_p, ast_p, stl_p, blk_p, tov_p, usg_p, or, dr, a.total_minutes, a.fg, a.fg_attempts, a.fg_percentage, a.3p, a.3p_attempts, a.3p_percentage, a.ft, a.ft_attempts, a.ft_percentage, a.orb, a.drb, a.trb, a.ast, a.stl, a.blk, a.tov, a.pf, a.pts, a.total_minutes(2), a.ts, a.efg, a.three_ar, a.ft_ar, a.orb_p, a.drb_p, a.trb_p, a.ast_p, a.stl_p, a.blk_p, a.tov_p, a.usg_p, a.or, a.dr
2014, 10, 28, LAL, HOU, 240, 31, 73, .425, 12, 29, .414, 34, 50, .680, 14, 33, 47, 22, 7, 3, 13, 30, 108, 240, .568, .507, .397, .685, 35.9, 75.0, 56.6, 71.0, 7.7, 4.3, 12.0, 100.0, 118.8, 99.0, 240, 28, 79, .354, 3, 10, .300, 31, 39, .795, 11, 25, 36, 16, 7, 3, 11, 32, 90, 240, .468, .373, .127, .494, 25.0, 64.1, 43.4, 57.1, 7.7, 6.8, 10.3, 100.0, 99.0, 118.8
2014, 10, 28, NOP, ORL, 240, 32, 84, .381, 4, 11, .364, 16, 21, .762, 16, 40, 56, 17, 5, 9, 18, 25, 84, 240, .450, .405, .131, .250, 30.8, 60.6, 47.5, 53.1, 5.3, 10.7, 16.2, 100.0, 88.2, 106.1, 240, 41, 101, .406, 4, 17, .235, 15, 31, .484, 26, 36, 62, 20, 10, 17, 9, 17, 101, 240, .441, .426, .168, .307, 39.4, 69.2, 52.5, 48.8, 10.5, 23.3, 7.3, 100.0, 106.1, 88.2
2014, 10, 28, SAS, DAL, 240, 38, 78, .487, 8, 21, .381, 16, 19, .842, 9, 24, 33, 17, 9, 3, 10, 20, 100, 240, .579, .538, .269, .244, 23.7, 72.7, 46.5, 44.7, 10.5, 7.1, 10.4, 100.0, 116.1, 117.3, 240, 37, 70, .529, 14, 28, .500, 13, 16, .813, 9, 29, 38, 23, 5, 3, 20, 20, 101, 240, .656, .629, .400, .229, 27.3, 76.3, 53.5, 62.2, 5.8, 5.3, 20.6, 100.0, 117.3, 116.1
2014, 10, 29, BOS, BRK, 240, 39, 80, .488, 7, 19, .368, 20, 26, .769, 9, 30, 39, 20, 6, 7, 20, 21, 105, 240, .574, .531, .238, .325, 25.7, 76.9, 52.7, 51.3, 6.0, 10.6, 17.9, 100.0, 105.7, 121.8, 240, 49, 88, .557, 8, 22, .364, 15, 23, .652, 9, 26, 35, 28, 11, 5, 12, 25, 121, 240, .617, .602, .250, .261, 23.1, 74.3, 47.3, 57.1, 11.1, 8.2, 10.9, 100.0, 121.8, 105.7
2014, 10, 29, CHO, MIL, 265, 39, 80, .488, 7, 14, .500, 21, 24, .875, 3, 32, 35, 25, 9, 10, 14, 25, 106, 265, .585, .531, .175, .300, 7.9, 68.1, 41.2, 64.1, 8.9, 12.5, 13.4, 100.0, 104.8, 106.8, 265, 41, 101, .406, 6, 21, .286, 20, 29, .690, 15, 35, 50, 27, 8, 9, 10, 20, 108, 265, .475, .436, .208, .287, 31.9, 92.1, 58.8, 65.9, 7.9, 13.6, 8.1, 100.0, 106.8, 104.8
2014, 10, 29, DEN, DET, 240, 31, 84, .369, 6, 26, .231, 11, 19, .579, 8, 37, 45, 15, 4, 5, 15, 27, 79, 240, .428, .405, .310, .226, 17.8, 72.5, 46.9, 48.4, 4.2, 8.2, 14.0, 100.0, 82.0, 92.3, 240, 30, 85, .353, 6, 24, .250, 23, 31, .742, 14, 37, 51, 17, 7, 4, 15, 21, 89, 240, .451, .388, .282, .365, 27.5, 82.2, 53.1, 56.7, 7.3, 6.9, 13.2, 100.0, 92.3, 82.0
